#first line - comment, second - resolution n, m, third - wavelengths, fourth and further - point coordinates i, j and spectraIntegration time us: 500000Step - 6
56 100
4.00 5.00 6.00
0 0 13:18:07.156254
0 1 13:18:07.676267
0 2 13:18:08.195661
0 3 13:18:08.715547
0 4 13:18:09.236803
0 5 13:18:09.756619
0 6 13:18:10.268613
0 7 13:18:10.788526
0 8 13:18:11.307438
0 9 13:18:11.827006
0 10 13:18:12.346118
0 11 13:18:12.866308
0 12 13:18:13.385334
0 13 13:18:13.905579
0 14 13:18:14.424944
0 15 13:18:14.944921
0 16 13:18:15.464319
0 17 13:18:15.985006
0 18 13:18:16.505204
0 19 13:18:17.024108
0 20 13:18:17.544885
0 21 13:18:18.059022
0 22 13:18:18.582586
0 23 13:18:19.095282
0 24 13:18:19.615082
0 25 13:18:20.135335
0 26 13:18:20.654239
0 27 13:18:21.175094
0 28 13:18:21.694987
0 29 13:18:22.215886
0 30 13:18:22.736648
0 31 13:18:23.256057
0 32 13:18:23.776625
0 33 13:18:24.294849
0 34 13:18:24.812413
0 35 13:18:25.332237
0 36 13:18:25.845153
0 37 13:18:26.363189
0 38 13:18:26.883076
0 39 13:18:27.404014
0 40 13:18:27.923469
0 41 13:18:28.442115
0 42 13:18:28.961130
0 43 13:18:29.479857
0 44 13:18:30.000865
0 45 13:18:30.520153
0 46 13:18:31.040715
0 47 13:18:31.560106
0 48 13:18:32.080278
0 49 13:18:32.586436
0 50 13:18:33.104749
0 51 13:18:33.616005
0 52 13:18:34.134889
0 53 13:18:34.656011
0 54 13:18:35.175406
0 55 13:18:35.696132
0 56 13:18:36.216133
0 57 13:18:36.735521
0 58 13:18:37.255955
0 59 13:18:37.775432
0 60 13:18:38.295073
0 61 13:18:38.813509
0 62 13:18:39.334474
0 63 13:18:39.854468
0 64 13:18:40.374639
0 65 13:18:40.894610
0 66 13:18:41.413591
0 67 13:18:41.933718
0 68 13:18:42.454714
0 69 13:18:42.975473
0 70 13:18:43.495375
0 71 13:18:44.013452
0 72 13:18:44.532025
0 73 13:18:45.050336
0 74 13:18:45.570183
0 75 13:18:46.090201
0 76 13:18:46.608963
0 77 13:18:47.129224
0 78 13:18:47.648734
0 79 13:18:48.161105
0 80 13:18:48.680554
0 81 13:18:49.200562
0 82 13:18:49.718937
0 83 13:18:50.238692
0 84 13:18:50.759620
0 85 13:18:51.279581
0 86 13:18:51.799918
0 87 13:18:52.319229
0 88 13:18:52.838950
0 89 13:18:53.358615
0 90 13:18:53.879418
0 91 13:18:54.399744
0 92 13:18:54.917408
0 93 13:18:55.437587
0 94 13:18:55.956513
0 95 13:18:56.475410
0 96 13:18:56.989016
0 97 13:18:57.508509
0 98 13:18:58.038026
